rang,franska,ordklass,genus,svenska,mening_franska,mening_svenska,bonusord,notering
1846,chic,adjektiv,,"chic, stilig","Très chic, cette chemise !","Väldigt stilig, den där skjortan!",,Svenskan lånade det! Böjs aldrig. GULD-utrop: Chic ! = vad kul! (lite gammaldags charmigt)
1847,branché,adjektiv,,trendig; inkopplad,Un café très branché.,Ett väldigt trendigt kafé.,,brancher har du redan → branché = 'inkopplad' = med i svängen! Teknikens metafor blev mode
1848,abîmé,adjektiv,,"skadad, sliten",Le livre est abîmé. Merci qui ?,Boken är trasig. Tack vem?,"abîmer = att förstöra, skada",Från abîme = avgrund – 'kastad i avgrunden'! Vardagens ord för allt som Kalle... någon... råkat ha sönder
1849,malin / maligne,adjektiv,,"klurig, smart","Malin, le petit !","Klurig, den lille!",,GULD-ironi: C'est malin ! = 'snyggt jobbat!' (när något går fel). le plus malin = den listigaste
1850,doué,adjektiv,,begåvad,Doué pour les langues ? Ça se travaille.,Språkbegåvad? Det går att träna upp.,,"doué pour/en = begåvad i. surdoué = särbegåvad. Talang är bra, metod är bättre"
1851,faible,adjektiv,,svag,Mon point faible ? Le chocolat.,Min svaga punkt? Choklad.,,point faible ↔ point fort. avoir un faible pour = ha ett svagt hjärta för!
1852,maladroit,adjektiv,,klumpig,Maladroit ? Moi ? ... Oui.,Klumpig? Jag? ... Ja.,,mal + adroit! Och adroit kommer av droite – högerhanden var 'den skickliga sidan'. Orättvist mot vänsterhänta
1853,costaud,adjektiv,,"stark, bastant","Costaud, ce petit !","Stark, den lille!",,Vardagligt beröm. Också om saker: un café costaud = en stark kaffe!
1854,coquin / coquine,adjektiv,,"busig, rackarns",Petit coquin !,Lilla rackare!,,Föräldraordförrådets mest använda kärleksord. un regard coquin = en busig blick
1855,distrait,adjektiv,,tankspridd,"Distrait ? Pardon, tu disais ?","Tankspridd? Förlåt, vad sa du?",,distraire = förströ/distrahera. Motsatsen till concentré. Professorstereotypens adjektiv
1856,souple,adjektiv,,"smidig, flexibel",Souple comme un bébé.,Smidig som en bebis.,,Också om scheman: des horaires souples = flexibla tider. la souplesse = smidigheten
1857,prudent,adjektiv,,försiktig,Prudent sur le verglas.,Försiktig på halkan.,,GRATIS-ish! Sois prudent ! = var försiktig! la prudence est mère de sûreté = försiktighet är säkerhetens moder
1858,satisfait,adjektiv,,nöjd,Satisfait ? Très satisfait.,Nöjd? Mycket nöjd.,,satisfait ou remboursé = nöjd-kund-garanti ('nöjd eller pengarna tillbaka')! satisfaire = tillfredsställa
1859,quasiment,adverb,,"nästan, i princip",Quasiment fini !,Nästan klart!,,Talspråkets presque. quasi + ment. Quasiment tous les jours = i princip varje dag
1860,hyper,adverb,,"jätte-, super-",C'est hyper bon !,Det är jättegott!,,"Förstärkarsamlingen komplett: super, hyper, trop, vachement, carrément. hyper > super, säger ungdomen"
1861,autant,adverb,,"lika mycket, så mycket",Autant que possible.,Så mycket som möjligt.,,GULD-fras: Autant pour moi ! = mitt fel/jag tar tillbaka! autant de = lika många
1862,aussitôt,adverb,,"genast, så snart","Aussitôt dit, aussitôt fait !",Sagt och gjort!,,aussi + tôt = 'lika tidigt'. aussitôt que = så snart som. Idiomet är exakt svenskans!
1863,du moins,uttryck,,"åtminstone, i alla fall","Il dort. Du moins, je crois.",Han sover. Tror jag i alla fall.,,"NYANS: au moins = minst (mängd), du moins = reservation ('det vill säga, om jag inte har fel')"
1864,à l'envers,uttryck,,"bakvänt, upp och ner, ut och in",Le pull est à l'envers.,Tröjan är ut och in.,à l'endroit = rättvänt,Minns endroit = plats? Här är andra betydelsen: rätsidan! Småbarnsmorgnarnas mest användbara uttryck
1865,au lieu de,uttryck,,i stället för,"Au lieu de dormir, je lis.",I stället för att sova läser jag.,,lieu (plats) känner du från avoir lieu. au lieu de + infinitiv – smidigare än svenskans konstruktion
1866,à force de,uttryck,,genom att (ihärdigt),"À force de répéter, ça rentre.",Genom att repetera fastnar det.,,force + envishet = resultat. Ça rentre ! = det fastnar/går in! Språkinlärningens motto
1867,bien que,konjunktion,,"fastän, även om","Bien que fatigué, je continue.",Fastän trött fortsätter jag.,,"Kräver subjonctif med verb (bien que ce SOIT difficile) – men med adjektiv slipper du undan, som här!"
1868,pourvu que,uttryck,,"bara, om bara",Pourvu qu'il dorme !,Bara han sover!,,"Föräldrabönens grammatik. Pourvu que ça dure ! = bara det håller i sig! (Napoleons mamma, faktiskt)"
1869,à propos,uttryck,,"förresten, apropå","À propos, tu as vu mes clés ?","Förresten, har du sett mina nycklar?",,Svenskan lånade apropå! à propos de = angående. Syskon till au fait
1870,histoire de,uttryck,,bara för att,Histoire de rire.,Bara för skojs skull.,,Talspråksguld: histoire de + infinitiv = 'bara för att'. Histoire de voir = bara för att se
1871,quant à,uttryck,,"vad gäller, vad beträffar","Quant à moi, je dors.",Vad mig beträffar sover jag.,,HOMOFON-VARNING: låter exakt som quand (när)! Stavningen skiljer: quant à = vad gäller
1872,davantage,adverb,,"mer, ytterligare",Il en faut davantage ? Vraiment ?,Behövs det mer? Verkligen?,,d' + avantage – ordet du fick på rad 1595! Finare än plus: travailler davantage = jobba mer
1873,avant-hier / après-demain,adverb,,i förrgår / i övermorgon,Avant-hier ? Aucune idée. Après-demain ? On verra.,I förrgår? Ingen aning. I övermorgon? Vi får se.,,"Logiskt system: avant + hier, après + demain. Småbarnstidens tidsuppfattning i en mening"
1874,voici,preposition,,här är,Voici Kalle !,Här är Kalle!,,"Teoretiskt: voici = här, voilà = där. I praktiken vinner voilà nästan alltid i talspråk. Men nu vet du"
1875,cool,adjektiv,,"cool, skön",Cool. Très cool.,Coolt. Väldigt coolt.,,Franskan lånade och böjer aldrig. Reste cool ! = ta det lugnt! Uttalas [kul] – vilket blir kul på svenska
1876,zut,interjektion,,"attans, sjutton",Zut ! J'ai oublié mes clés.,Attans! Jag glömde nycklarna.,,Artigaste svordomen – funkar inför både mormor och chef. Zut alors ! = klassikern
1877,purée !,interjektion,,jäklar! (mos),Purée ! Encore ?,Jäklar! Igen?,,DUBBEL: potatismos OCH utrop! Som att utbrista 'Potatismos!' i frustration. Franskan är underbar
1878,tu parles !,uttryck,,knappast! skitsnack!,Facile ? Tu parles !,Lätt? Knappast!,,Ordagrant 'du pratar' = 'det kan du tro själv!'. Tu parles d'une surprise ! = snacka om överraskning!
1879,mon œil !,uttryck,,det tror jag inte på!,Gratuit ? Mon œil !,Gratis? Aldrig i livet!,,Sägs medan man drar ner undre ögonlocket – gesten OCH frasen betyder 'jag ser vad du försöker med'!
1880,la classe !,uttryck,,stiligt! snyggt!,Une chemise repassée ? La classe !,En struken skjorta? Stiligt!,,"classe (skolklass) har du redan – här är stilen! avoir la classe = ha stil. Ça, c'est la classe !"
1881,faire gaffe,uttryck,,"att akta sig, se upp",Fais gaffe au verglas !,Akta dig för halkan!,,Vardagens attention ! GULD-DUBBEL: une gaffe = en tabbe! faire une gaffe = göra bort sig
1882,faire la tête,uttryck,,att tjura,Kalle fait la tête. Deux minutes.,Kalle tjurar. I två minuter.,,Ordagrant 'göra huvudet' – trumpen min. faire la tête à quelqu'un = sura på någon
1883,avoir la flemme,uttryck,,"att inte orka, vara lat",J'ai la flemme de cuisiner.,Jag orkar inte laga mat.,,Talspråksguld! la flemme = latheten (från 'flegma'!). J'ai la flemme = jag pallar inte. Ärlighetens uttryck
1884,avoir le trac,uttryck,,att ha rampfeber,Le trac avant de parler ? Toujours un peu.,Rampfeber före ett tal? Alltid lite.,,"Scenens hemlighet: alla har det, proffsen använder det. le trac = fjärilarna i magen"
1885,à tes souhaits !,uttryck,,prosit!,Atchoum ! — À tes souhaits !,Atjo! — Prosit!,,Ordagrant 'på dina önskningar'! Till ni-personer: à vos souhaits ! Bonus: meilleurs vœux = bästa hälsningar (nyår)
1886,bon courage,uttryck,,"kämpa på, lycka till",Bon courage pour la nuit !,Lycka till i natt!,,"NYANS: bonne chance = tur behövs, bon courage = kraft behövs. Till småbarnsföräldrar: alltid courage"
1887,ça va aller,uttryck,,det ordnar sig,Ça va aller. Promis.,Det kommer ordna sig. Jag lovar.,,"Tröstens tre ord. Ça va aller, mon grand = det ordnar sig, gubben. Franskans varmaste mening"
1888,sous-titre,substantiv,m,undertext,Toujours avec les sous-titres !,Alltid med undertexter!,sous-titrer = att undertexta,sous + titre = 'undertitel'. Den som klipper vertikalvideo vet: texten ska hamna i säkra zonen
1889,version,substantiv,f,version,"En version originale, avec sous-titres.","I originalversion, med undertext.",,"KULTUR: VO = version originale, VF = version française (dubbat). Frankrike dubbar allt – Sverige textar. Lagom vann"
1890,plateau,substantiv,m,bricka; platå; filmset,Silence sur le plateau !,Tystnad i studion!,,"TRIPPEL: serveringsbricka, högplatå OCH inspelningsplats! plateau de fromages = ostbricka. Filmarens arbetsplats"
1891,décor,substantiv,m,"dekor, scenografi",Le décor : parfait. Le budget : zéro.,Scenografin: perfekt. Budgeten: noll.,,Indiefilmarens ekvation. changer de décor = byta miljö. Naturen: bästa gratisdekoren
1892,carrière,substantiv,f,karriär; stenbrott,Une carrière dans une carrière ? Pourquoi pas.,En karriär i ett stenbrott? Varför inte.,,"DUBBEL: karriär OCH stenbrott! Samma ord, via latinets 'väg för vagnar'. En mening gjord för ordvitsmästare"
1893,générique,substantiv,m,"eftertexter, förtexter",On reste jusqu'au générique.,Vi stannar till eftertexterna.,,"générique de fin = eftertexterna. Också adjektiv: generisk. Filmens hela lag, i rullande text"
1894,s'abonner,verb,,"att prenumerera, följa",Abonnez-vous ! Ça aide.,Prenumerera! Det hjälper.,,abonné har du redan → verbet. un abonnement = en prenumeration. Skaparekonomins viktigaste uppmaning
1895,publier,verb,,att publicera,Je publie la vidéo ce soir.,Jag publicerar videon ikväll.,,GRATIS! publier un livre = ge ut en bok. la publication = publiceringen. Knappen som kräver mod
1896,diffuser,verb,,"att sända, sprida",L'épisode est diffusé en direct.,Avsnittet sänds live.,"en direct = live, direktsänt","diffuser = sprida ut (ljus, ljud, program). la diffusion = sändningen. re-diffusion = repris!"
1897,coder,verb,,"att koda, programmera",Je code un petit jeu pour apprendre.,Jag kodar ett litet spel för att lära mig.,un bug = en bugg,"le code = koden. Franska tech-ord är ofta engelska – men verbet coder är helfranskt böjligt: je code, tu codes..."
1898,mettre à jour,uttryck,,att uppdatera,Je mets à jour l'appli.,Jag uppdaterar appen.,,Ordagrant 'sätta till dags'! une mise à jour = en uppdatering. à jour = uppdaterad/ajour – svenskan lånade det!
1899,cap,substantiv,m,kurs; udde,Cap sur les trois mille !,Kurs mot tretusen!,,DUBBEL: kompasskurs OCH udde (le cap Horn)! garder le cap = hålla kursen. mettre le cap sur = sätta kurs mot
1900,bonne continuation,uttryck,,fortsatt lycka till,Mille neuf cents mots. Bonne continuation !,Nittonhundra ord. Fortsatt lycka till!,,Franskans fras till den som är mitt i något bra – ett helt uttryck svenskan saknar. Passar perfekt just här
1901,se pencher,verb,,"att luta sig, böja sig","Penche-toi, tu verras mieux.","Luta dig fram, så ser du bättre.",,se pencher sur = titta närmare på (une question). Nyfikenhetens kroppsspråk
1902,s'allonger,verb,,att lägga sig ner,Je m'allonge cinq minutes. Promis.,Jag lägger mig fem minuter. Jag lovar.,,long → s'allonger = 'göra sig lång'. Föräldralögnen nummer ett: fem minuter
1903,s'étirer,verb,,att sträcka på sig,Je m'étire comme un chat.,Jag sträcker på mig som en katt.,,"tirer har du redan → s'étirer. Morgonens första verb, kattens hela filosofi"
1904,se cogner,verb,,att slå i sig,Je me cogne toujours au même endroit.,Jag slår i mig alltid på samma ställe.,,Dörrkarmens verb. se cogner la tête = slå i huvudet. Statistiskt: alltid lilltån
1905,trébucher,verb,,att snubbla,Je trébuche sur un jouet. Classique.,Jag snubblar på en leksak. Klassiskt.,,Föräldragolvets minfält. trébucher sur les mots = snubbla på orden
1906,sursauter,verb,,"att hoppa till, rycka till",Le téléphone sonne. Je sursaute.,Telefonen ringer. Jag hoppar till.,,sur + sauter = 'hoppa uppåt'. faire sursauter quelqu'un = skrämma någon
1907,bousculer,verb,,att knuffa(s),On se bouscule dans le métro.,Man knuffas i tunnelbanan.,,bousculer les habitudes = skaka om vanorna. Paris i rusningstid: verbet i praktiken
1908,écraser,verb,,"att krossa, mosa",N'écrase pas la fraise !,Mosa inte jordgubben!,,écraser une purée = mosa potatis (purée !). se faire écraser = bli överkörd. Kökets och trafikens verb
1909,tremper,verb,,att blötlägga; doppa,Trempé jusqu'aux os !,Genomblöt in på bara skinnet!,,IDIOM: 'blöt ända till benen' – os minns du (tyst s i plural!). tremper un biscuit = doppa ett kex
1910,transpirer,verb,,att svettas,Je transpire déjà. Il est neuf heures.,Jag svettas redan. Klockan är nio.,,Jfr eng. perspire. transpirer à grosses gouttes = svettas floder
1911,rougir,verb,,att rodna,Je rougis facilement.,Jag rodnar lätt.,,"rouge → rougir! Mönstret: pâlir = blekna, grandir = växa. Färg + -ir = bli"
1912,fuir,verb,,att fly,Je fuis les réunions inutiles.,Jag flyr onödiga möten.,,s'enfuir = rymma. Också läcka: le robinet fuit = kranen läcker! Dubbelanvändbart
1913,hurler,verb,,"att tjuta, vråla",Le vent hurle cette nuit.,Vinden tjuter i natt.,,hurler de rire = tjuta av skratt. hurler avec les loups = tjuta med vargarna = följa flocken
1914,soupirer,verb,,att sucka,Je soupire. Fort. Deux fois.,Jag suckar. Högt. Två gånger.,,un soupir = en suck. Kommunikationsform i alla långvariga relationer
1915,fredonner,verb,,"att gnola, nynna",Je fredonne une berceuse.,Jag gnolar på en vaggvisa.,,Hör du fre-don-ljudet? Nynnandets eget ljudhärmande verb
1916,chatouiller,verb,,att kittla,Je chatouille Kalle. Rires garantis !,Jag kittlar Kalle. Skratt garanterat!,garanti = garanterad (GRATIS),chatouilleux = kittlig. Guili-guili ! = franskans killekille!
1917,gigoter,verb,,att sprattla,Kalle gigote de joie.,Kalle sprattlar av glädje.,,le gigot = lammlägg – gigoter är att 'vifta med benen'! Bebisarnas nationalsport
1918,taquiner,verb,,att retas (snällt),J'aime taquiner Jessica. Un peu.,Jag gillar att retas med Jessica. Lite.,,Snäll retning – aldrig elak. taquin = retsam. Kärleksspråkens gemensamma dialekt
1919,gâter,verb,,att skämma bort,Mamie gâte Kalle. Normal.,Farmor skämmer bort Kalle. Helt normalt.,,un enfant gâté = ett bortskämt barn. Och gâteau ? Obesläktat – men lätt att minnas: kakor skämmer bort!
1920,déguiser,verb,,att klä ut (sig),On se déguise en quoi cette année ?,Vad ska vi klä ut oss till i år?,,un déguisement = en utklädnad. se déguiser en pirate = klä ut sig till pirat
1921,emballer,verb,,att slå in; entusiasmera,J'emballe le cadeau. Mal.,Jag slår in presenten. Dåligt.,,GULD-slang: Je suis emballé ! = jag är såld/eld och lågor! l'emballage = förpackningen
1922,tricoter,verb,,att sticka (garn),Mamie tricote pour Kalle.,Farmor stickar åt Kalle.,,"le tricot = stickning/stickad tröja. Mormorsekonomins grundpelare, i båda länderna"
1923,souligner,verb,,att stryka under; betona,Je souligne l'essentiel.,Jag stryker under det viktigaste.,,sous + ligne = 'under linjen'! Också betona: je souligne que... = jag vill understryka att...
1924,entourer,verb,,att ringa in; omge,Entoure la bonne réponse !,Ringa in rätt svar!,,tour har du redan → entourer. entouré de = omgiven av. l'entourage = kretsen omkring en
1925,supprimer,verb,,"att radera, ta bort",Supprimer ? Oui. Non ! Trop tard.,Radera? Ja. Nej! För sent.,,Delete-knappens verb. supprimer un fichier = radera en fil. Ångern kommer alltid en sekund senare
1926,vibrer,verb,,att vibrera,Le téléphone vibre. On l'ignore.,Telefonen vibrerar. Vi ignorerar den.,,GRATIS! faire vibrer = beröra djupt: cette musique me fait vibrer !
1927,clignoter,verb,,att blinka (lampa),La lampe clignote. Mauvais signe.,Lampan blinkar. Dåligt tecken.,,"le clignotant = blinkersen! Ögat blinkar med cligner, lampan med clignoter"
